,Brands,type_,year,car_age,km,fuel,Prices,owner,downpayments
242,KIA,SELTOS,2019,3,15503.0,Petrol,1508899,1st,29499
243,Maruti,Baleno,2016,6,36021.0,Petrol,478899,1st,9363
244,Maruti,Swift,2018,4,28502.0,Petrol,552999,1st,10811
245,Maruti,Alto,2014,8,20114.0,Petrol,266999,1st,5220
246,Hyundai,i10,2013,9,52004.0,Petrol,272499,2nd,5327
247,Hyundai,Verna,2011,11,58939.0,Petrol,371599,2nd,7265
248,Toyota,Etios,2012,10,45094.0,Petrol,253899,2nd,4964
249,Maruti,Celerio,2017,5,33567.0,Petrol,375899,1st,7349
250,Hyundai,Elite,2015,7,6880.0,Petrol,577799,1st,11296
251,Maruti,Wagon,2016,6,39225.0,Petrol,305399,2nd,5971
252,Maruti,Alto,2015,7,24432.0,Petrol,254399,1st,4974
253,Renault,Kwid,2020,2,36551.0,Petrol,421199,1st,8235
254,Maruti,Baleno,2016,6,29068.0,Petrol,511799,1st,10006
255,Maruti,Alto,2015,7,43764.0,Petrol,241321,1st,4718
256,KIA,SELTOS,2019,3,7946.0,Petrol,1022999,1st,20000
257,Maruti,Dzire,2018,4,8242.0,Diesel,705899,2nd,13800
258,Maruti,Celerio,2018,4,17885.0,Petrol,426799,1st,8344
259,Honda,Brio,2013,9,42217.0,Petrol,286899,2nd,5609
260,MG,HECTOR,2020,2,6707.0,Petrol,1570899,1st,30711
261,Hyundai,Santro,2013,9,27748.0,Petrol,206799,1st,4043
262,KIA,SELTOS,2019,3,15503.0,Petrol,1508899,1st,29499
263,Maruti,Baleno,2016,6,36021.0,Petrol,478899,1st,9363
264,Maruti,Swift,2018,4,28502.0,Petrol,552999,1st,10811
265,Maruti,Alto,2014,8,20114.0,Petrol,266999,1st,5220
266,Hyundai,i10,2013,9,52004.0,Petrol,272499,2nd,5327
267,Hyundai,Verna,2011,11,58939.0,Petrol,371599,2nd,7265
268,Toyota,Etios,2012,10,45094.0,Petrol,253899,2nd,4964
269,Maruti,Celerio,2017,5,33567.0,Petrol,375899,1st,7349
